Name,Quantity in 1 unit,Type,Seller,"Price for 1 uint, rub","Sales, tons","Sales, th. rub",Weighted distribution,Price for 1 bit,Market Share,Sales in packages,Sales in bits
RICHARD ROYAL KENYA,100,ч,п,76,24,34695,7,"0,76","0,07364963724","456,5131579","45651,31579"
LIPTON(UNILEVER) ROYAL CEYLON,100,ч,п,162,77,59112,8,"1,62","0,1254814053","364,8888889","36488,88889"
KUBAN TEA,200,ч,в,194,54,52168,7,"0,97","0,110740864","268,9072165","53781,4433"
GREENFIELD(OR.TR.) CHOC.TOFFEE,25,ч/а,п,80,25,53888,13,"3,2","0,1143920349","673,6",16840
LIPTON(UNILEVER) CLAS.,100,ч,п,156,62,55124,15,"1,56","0,1170157834","353,3589744","35335,89744"
GREENFIELD(OR.TR.) CURRNT&MINT,25,ч/а,п,81,24,41835,8,"3,24","0,08880624223","516,4814815","12912,03704"
GRAND VELIKIY TIGR OTBORNIY,25,ч,п,32,79,56906,10,"1,28","0,1207985663","1778,3125","44457,8125"
MK SUPREME CTC ASSAM,100,ч,в,44,103,45044,3,"0,44","0,09561822338","1023,727273","102372,7273"
BROOKE BOND(UNILEVER) NASYTSHENNIY,100,ч,в,63,83,52316,15,"0,63","0,1110550345","830,4126984","83041,26984"
RICHARD ROYAL KENYA,100,ч,п,178,75,66192,9,"1,78","0,1405106439","371,8651685","37186,51685"
PRINCESSA NOORI KLUBNIKA,25,ч/а,п,46,37,45306,11,"1,84","0,09617439011","984,9130435","24622,82609"
GRAND VELIKIY TIGR OTBORNIY,100,ч,п,109,94,56636,8,"1,09","0,1202254174","519,5963303","51959,63303"
AHMAD TEA SUMMER THYME,100,ч/а,в,130,37,47983,21,"1,3","0,1018570556","369,1",36910
TESS THYME,25,ч/а,п,68,28,49990,11,"2,72","0,1061174626","735,1470588","18378,67647"
RISTON VINTAGE ENGLISH,200,ч,в,204,32,32626,10,"1,02","0,06925761824","159,9313725","31986,27451"
PRINCESSA NOORI BEST,100,ч,в,64,77,48870,8,"0,64","0,103739956","763,59375","76359,375"
GREENFIELD(OR.TR.) MAGIC YUNNAN,100,ч,в,86,65,55948,19,"0,86","0,118764949","650,5581395","65055,81395"
JUMBO OTBORNIY,250,ч,в,183,51,37487,2,"0,732","0,07957642171","204,8469945","51211,74863"
BETA(BETA TEA GK) ROYAL QUALITY,25,ч,п,69,21,25535,13,"2,76","0,05420502917","370,0724638","9251,811594"
PRINCESSA NOORI TSEYLONSKIY BUKET,250,ч,в,139,94,52395,6,"0,556","0,1112227336","376,942446","94235,61151"
MAYSKIY(MAY-FOODS) OTBORNIY,100,ч,в,62,80,49580,13,"0,62","0,1052471254","799,6774194","79967,74194"
BODROST(SAPSAN GR.CH.KO.) INDIYSKIY,25,ч,п,39,38,27743,16,"1,56","0,05889211374","711,3589744","17783,97436"
AHMAD TEA ENGLISH TEA N1 T,100,ч/а,в,131,32,41584,8,"1,31","0,088273426","317,4351145","31743,51145"
AKBAR MOUNTAIN FRESH,250,ч,в,273,52,57105,15,"1,092","0,1212209983","209,1758242","52293,95604"
GREENFIELD(OR.TR.) MAGIC YUNNAN,200,ч,в,154,28,20907,5,"0,77","0,04438083199","135,7597403","27151,94805"
KRASNODARSKIY(OB`ED.KRASN.CHA) CHYORNIY,200,ч,в,221,42,46701,15,"1,105","0,09913565958","211,3167421","42263,34842"
PRINCESSA NOORI KENIYSKIY,100,ч,п,133,59,39075,8,"1,33","0,08294738652","293,7969925","29379,69925"
GORDON NATURAL.TSEYLON.,100,ч,в,104,31,32516,4,"1,04","0,06902411312","312,6538462","31265,38462"
