Name,Quantity in 1 unit,Type,Seller,"Price for 1 uint, rub","Sales, tons","Sales, th. rub",Weighted distribution,Price for 1 bit,Market Share,Sales in packages,Sales in bits
REAL RAYSKIE PTITSY CEYLON,250,ч/а,в,273,15,16761,2,"1,092","0,03557981178","61,3956044","15348,9011"
TESS EARL GREY,25,ч/а,п,70,10,15204,3,"2,8","0,03227465297","217,2",5430
PRINCESSA GITA MEDIUM,250,ч,в,59,69,16286,4,"0,236","0,03457149423","276,0338983","69008,47458"
INDUS KLASS,25,ч,п,45,19,17271,4,"1,8","0,03666242643","383,8",9595
RISTON EARL GREY,100,ч/а,п,273,11,20012,11,"2,73","0,04248094943","73,3040293","7330,40293"
REAL RAYSKIE PTITSY CEYLON,100,ч,в,124,9,11197,2,"1,24","0,02376869832","90,2983871","9029,83871"
LISMA ZAVARKIN EARL GREY,25,ч/а,п,33,21,17931,4,"1,32","0,03806345714","543,3636364","13584,09091"
AHMAD TEA INDIAN ASSAM,200,ч,в,220,15,15944,2,"1,1","0,03384550558","72,47272727","14494,54545"
AHMAD TEA SUMMER THYME THYME,200,ч/а,в,253,7,8107,2,"1,265","0,01720932726","32,04347826","6408,695652"
NEWBY ASSAM,25,ч,п,360,2,11772,9,"14,4","0,02498929326","32,7","817,5"
LONDON TEA CLUB ASSAM,100,ч,п,147,21,14996,2,"1,47","0,03183311601","102,0136054","10201,36054"
LISMA KREPKIY FOREST BERRY,25,ч/а,п,41,14,15006,5,"1,64","0,03185434375",366,9150
MK SUPREME CTC ASSAM,250,ч,в,99,42,16480,1,"0,396","0,03498331234","166,4646465","41616,16162"
BATTLER VELIKIY SLON,250,ч,в,226,13,11966,2,"0,904","0,02540111138","52,94690265","13236,72566"
HYLEYS ANGL.KLASS.,100,ч,п,192,6,7132,3,"1,92","0,01513962279","37,14583333","3714,583333"
BATTLER DVA VELIKANA,100,ч,в,98,21,20511,3,"0,98","0,04354021356","209,2959184","20929,59184"
BROOKE BOND BERGAMOT,25,ч/а,п,45,12,14579,9,"1,8","0,03094791934","323,9777778","8099,444444"
